Metric,Value
Scenario,Low Wind
Monte Carlo Trials,280
Maximum Height,38.95014684865267
Simulation Time,4.819999999999942
Horizontal Distance,47.255299915150644
Mean X,53.85187347635349
Mean Y,21.57977407602824
Mean Z,0.07825874825405202
Std X,0.3393053146250878
Std Y,0.24693575377545668
Std Z,0.06070382931255008
Minimum X,52.81564509515785
Minimum Y,20.696476590023625
Minimum Z,0.0009788712170830105
Maximum X,54.559285021906796
Maximum Y,22.24203292459183
Maximum Z,0.2591373837228682
