Trial,X,Y,Z
1,54.556857035503555,21.859070229707836,0.13565924627548082
2,54.97837730051867,22.3160274206669,0.1946897655926345
3,55.18348003895334,22.33446381743314,0.21625724438514105
4,54.84028480466761,22.282512354419413,0.17943771736351677
5,54.60861126310105,22.181951754466688,0.15239494533703135
6,54.760453402785174,22.126918783991925,0.16618567637733167
7,55.00386576400444,22.568925342128097,0.20417375552382822
8,54.598165280268205,22.091260099209443,0.14835349670792364
9,54.67612118292472,21.934325456740762,0.15060526321025608
10,55.038014726480405,22.1824848895607,0.1963752719395288
11,54.912199895323596,22.223736532366388,0.1849623542562595
12,54.611165916377324,22.095500638737644,0.1498301565801653
13,54.57008374750941,22.022488761662895,0.1431004464857918
14,54.83266865655989,22.272077024779747,0.178331281135178
15,55.010538909732006,22.24769785587411,0.19580487947586783
16,54.71318430607764,21.994959114693923,0.15665055958929508
17,54.745661008284344,22.215084189062075,0.16757857617030886
18,54.83006898905872,22.162200643888173,0.17450502122042522
19,54.86199418050598,22.090639538812038,0.175249642926259
20,54.57221584281496,22.30109009246585,0.15217509554730685
21,54.69391331996877,22.46701736204004,0.1692657887282809
22,54.7790548731716,22.096776128970312,0.1670364630512169
23,54.58678160474699,22.320015338957244,0.15422243568087735
24,54.911175170986894,22.350793903299795,0.18880321290052715
25,54.90962522799801,22.175300528319987,0.18307372507203468
26,54.98387664678244,22.695225395513877,0.2047544876988805
27,54.94970428042043,22.36533644401899,0.1932096586683857
28,54.994089876184525,22.707952760908093,0.2060718987713589
29,54.566262991867134,22.052196875350553,0.14374883870379035
30,54.871378121735965,22.11896332818735,0.17721659192171796
31,55.099921872374594,22.28310826194276,0.2060853767234267
32,54.505783563242,22.086093720346206,0.13869422367685513
33,54.974112038850066,21.85864679960144,0.1772338726926458
34,55.11359951919349,22.221414053292566,0.20539265214223545
35,54.222861302295065,22.132565666335815,0.11091868668993582
36,54.86902265085032,21.945375653001904,0.17041960646764132
37,55.09961253091821,22.300022516758553,0.20660365598513564
38,55.18059008780665,22.193515263365807,0.21116345903263323
39,54.88601804719595,22.431581405759538,0.18844972264187587
40,54.909740502974934,21.83468979340915,0.16984797581324684
41,53.99865889862433,22.303780151182956,0.09212830790966187
42,54.97758795945381,22.220520967216697,0.1915377161599202
43,54.91796164301208,22.676856839932572,0.19745257522909543
44,55.066722401390386,22.14620210578992,0.19797729760013688
45,54.87920347407191,22.4011939128083,0.18691830153270383
46,54.96239784726398,22.17811788408267,0.18854519985642937
47,54.44245479949571,22.132309251208685,0.1336631438357242
48,54.58329142839434,22.23616709517963,0.15144184475608152
49,54.42289236159987,22.322524509309254,0.1371572418963698
50,54.98205201479468,22.36239491775747,0.19646345199600268
51,54.25875955175153,22.24751320175963,0.11795641019046954
52,55.047749764773855,22.002266280225417,0.19054414446727752
53,55.01306118448667,22.311268464213597,0.1981045413403535
54,55.11395896093991,22.469960710891268,0.213124648613646
55,54.82075058180074,22.03414438631578,0.16899789097889895
56,54.55349435417416,22.375866509270192,0.15224149609072124
57,55.012778901333874,22.54125711060822,0.20444824835984748
58,54.91802007429055,22.266388233129657,0.186936898060808
59,55.32457628893457,22.068638132204534,0.22063650489585018
60,54.40229963587107,22.03598070413604,0.12638420628862362
61,55.20781820054958,22.183608755051605,0.21353641585812838
62,54.844923265285516,22.292557031993766,0.18022283135385953
63,54.88456665230593,22.281209654209686,0.18396169851979027
64,55.052799696644776,22.01524393335838,0.19156870227008627
65,54.84965678480758,21.98375877757475,0.16999326756926547
66,54.507268212646665,22.589735441719007,0.15226631913780764
67,54.357248178642195,22.238201250604558,0.1279831840727031
68,54.44324247103176,22.0545989819791,0.13121536841820902
69,54.52073017239672,21.96488298917066,0.13600442515194666
70,54.90523321055152,22.392440418995506,0.18937805225271692
71,54.49004306076538,22.01617447730696,0.1347000196822336
72,54.810323440346245,22.043395699493686,0.1682860609361182
73,54.25836346595032,22.783989052830282,0.12892834181727514
74,54.64666066606673,22.154369566026197,0.15543185328985976
75,54.817117346192326,21.97042155092261,0.16620330587992205
76,54.741705685407524,22.278191331029852,0.16911854961520456
77,54.64252266119723,21.814498026798915,0.14245819369024654
78,54.659620669971716,21.857786407005374,0.14593098058553677
79,55.19836015241324,22.55758107823709,0.2241314972066329
80,54.41499553043494,22.338281807985204,0.1367443944888127
81,54.718088284452016,22.398525606020165,0.17005829043910553
82,55.195921468822085,22.156062265631917,0.21132270877575715
83,54.96415718370369,22.40355012549233,0.1957963449824991
84,54.527585642703805,22.412190300123658,0.15044558332778613
85,55.00578696246108,22.291546541540878,0.1967384616553699
86,55.17481263814874,22.317291321613947,0.21482312026370098
87,54.83348006165631,22.201170166533995,0.176155234463361
88,54.71970540282998,22.03642088844595,0.15883843773782302
89,54.98189696304154,22.31788642604057,0.19510878191424513
90,54.9818118671037,22.35761105084939,0.1962976224259566
91,54.90714485077816,22.019921413822093,0.17717134650604965
92,55.091931123611666,22.139639459833294,0.2002756537498569
93,54.57875219547381,21.746330537677707,0.13326124037648374
94,54.811615467049705,22.1815372689452,0.17326534518167575
95,54.52381572943091,22.00110792321051,0.1376206634329249
96,55.00754826476573,22.363796605163714,0.1991335477781347
97,55.280287031591904,22.104914542573823,0.21774337524241583
98,55.105044900744126,21.880538222504093,0.19105041467154193
99,54.85016642095091,22.242134567057935,0.1791939418129364
100,54.2162642048543,21.823347824962763,0.09985947832617065
